CT,3861335,3861335-1
CA,3861350,3861350-1
CT,3861352,3861352-1
CA,3861354,3861354-1
MN,3861355,3861355-1
MN,3861358,3861358-1
CA,3861362,3861362-1
CA,3861370,3861370-1
CA,3861374,3861374-1
CT,3861382,3861382-1
CA,3861386,3861386-1
CA,3861387,3861387-1
AK,3861392,3860151-1
CA,3861401,3861401-1
CA,3861402,3861401-2
OK,3861415,3861415-1
CA,3861421,3861421-1
CA,3861430,3861430-1
CA,3861431,3861431-1
CA,3861464,3861464-1
CA,3861483,3861483-1
CA,3861484,3861484-1
CA,3861487,3861487-1
CA,3861521,3861521-1
CA,3861535,3861535-1
MN,3861538,3861538-1
WA,3861541,3861541-1
CA,3861545,3861545-1
CA,3861554,3860992-1
CA,3861559,3861559-1
CA,3861568,3861568-1
CA,3861569,3861569-1
MN,3861576,3861576-1
WA,3861582,3861582-1
MN,3861584,3858793-1
CA,3861586,3860170-1
CA,3861587,3860170-1
CA,3861589,3860837-1
CA,3861595,3861595-1
CT,3861605,3861605-1
MN,3861619,3861619-1
MN,3861623,3861623-1
NV,3861624,3861150-1
CT,3861629,3861629-1
CT,3861643,3861643-1
CA,3861659,3861659-1
WA,3861674,3861674-1
CA,3861675,3861675-1
MN,3861688,3861688-1
CA,3861697,3861697-1
CA,3861702,3861702-1
CA,3861714,3861714-1
MN,3861718,3861718-1
CA,3861727,3861727-1
CA,3861730,3861730-1
MN,3861738,3861738-1
CA,3861739,3861739-1
WA,3861748,3861748-1
CA,3861768,3861702-1
CA,3861774,3861774-1
CA,3861776,3861595-1
CA,3861783,3861783-1
MN,3861784,3861784-1
CT,3861795,3861795-1
MN,3861799,3861799-1
CT,3861801,3861801-1
OK,3861802,3861802-1
CT,3861808,3861808-1
CA,3861809,3861809-1
CT,3861810,3861810-1
WA,3861814,3861814-1
CA,3861825,3861825-1
CT,3861833,3861833-1
CA,3861839,3861839-1
OK,3861842,3861842-1
OK,3861845,3861845-1
CA,3861850,3861850-1
CT,3861862,3861862-1
CA,3861863,3861863-1
CA,3861865,3861865-1
WA,3861867,3861867-1
MN,3861879,3861879-1
CA,3861895,3861895-1
CA,3861913,3861913-1
CA,3861916,3861916-1
CA,3861936,3861936-1
CA,3861963,3861963-1
CA,3861970,3861970-1
CT,3861977,3861977-1
CA,3861981,3861981-1
WA,3861995,3861995-1
CT,3861999,3861999-1
WA,3862000,3862000-1
CA,3862002,3862002-1
CA,3862016,3862016-1
MN,3862018,3862018-1
CA,3862043,3862043-1
CA,3862048,3862048-1
WV,3862076,3862076-1
OK,3862095,3859388-1
OK,3862104,3862104-1
CT,3862106,3862106-1
CA,3862115,3859665-1
WA,3862122,3862122-1
MN,3862134,3862134-1
CT,3862190,3862190-1
CT,3862191,3862191-1
CA,3862229,3862229-1
CT,3862237,3862237-1
OK,3862255,3862255-1
CA,3862261,3862261-1
OK,3862274,3859388-1
