MI,3862667,3862667-1
MI,3862668,3862668-1
MI,3862669,3862669-1
MI,3862674,3862674-1
MI,3862682,3862682-1
MI,3862691,3862691-1
MI,3862727,3862727-1
MI,3862737,3862737-1
MI,3862743,3862743-1
MI,3862767,3862767-1
MI,3862783,3862783-1
MI,3862785,3862785-1
MI,3862789,3862789-1
MI,3862800,3862800-1
MI,3862864,3862864-1
MI,3862935,3862184-1
MI,3862946,3862946-1
MI,3862950,3862950-1
MI,3862952,3862952-1
MI,3862956,3862956-1
MI,3862974,3862974-1
MI,3862984,3862984-1
MI,3863009,3863009-1
MI,3863101,3863101-1
MI,3863116,3863116-1
MI,3863208,3863208-1
MI,3863210,3863210-1
MI,3863252,3863252-1
MI,3863265,3863265-1
MI,3863303,3863303-1
MI,3863351,3863351-1
MI,3863398,3863398-1
MI,3863413,3863413-1
MI,3863445,3863445-1
MI,3863450,3858698-1
MI,3863467,3863467-1
MI,3863648,3863648-1
MI,3863658,3863658-1
MI,3863670,3863670-1
MI,3863674,3863674-1
MI,3863726,3863726-1
MI,3863727,3863727-1
MI,3863828,3863828-1
MI,3863840,3863840-1
MI,3863907,3863907-1
MI,3863909,3863909-1
MI,3863926,3863926-1
MI,3863935,3863935-1
MI,3863964,3863964-1
MI,3864053,3864053-1
MI,3864059,3864059-1
MI,3864081,3864081-1
MI,3864092,3864092-1
MI,3864109,3864109-1
MI,3864387,3864387-1
MI,3864437,3864437-1
MI,3864531,3864531-1
MI,3864613,3864613-1
MI,3864629,3864629-1
MI,3864686,3864686-1
MI,3864693,3864693-1
MI,3864745,3864745-1
MI,3864805,3864805-1
MI,3864808,3864808-1
MI,3864829,3864829-1
MI,3864840,3864840-1
MI,3864861,3864861-1
MI,3864988,3864988-1
MI,3864992,3864992-1
MI,3865039,3865039-1
MI,3865087,3865087-1
MI,3865095,3865095-1
MI,3865159,3865159-1
MI,3865205,3865205-1
MI,3865228,3865228-1
MI,3865329,3865329-1
MI,3865355,3865355-1
MI,3865385,3864745-1
MI,3865441,3865441-1
MI,3865514,3865514-1
MI,3865544,3865544-1
MI,3865638,3865638-1
MI,3865642,3865642-1
MI,3865656,3862864-2
MI,3865657,3862864-3
MI,3865658,3862864-3
MI,3865659,3862864-3
MI,3865669,3865669-1
MI,3865670,3865670-1
MI,3865688,3865688-1
MI,3865717,3865717-1
MI,3865728,3860709-1
MI,3865782,3862085-1
MI,3865822,3862184-2
MI,3865831,3865831-1
MI,3865897,3865897-1
MI,3865906,3865906-1
MI,3865923,3865923-1
MI,3865928,3865928-1
MI,3865949,3865949-1
MI,3865953,3858717-1
MI,3866004,3866004-1
MI,3866034,3866034-1
MI,3866139,3866139-1
MI,3866171,3866171-1
MI,3866271,3866271-1
MI,3866285,3866285-1
MI,3866287,3859705-2
MI,3866289,3866289-1
MI,3866369,3866369-1
MI,3866377,3866377-1
MI,3866384,3866384-1
MI,3866473,3866473-1
MI,3866485,3866485-1
MI,3866520,3866520-1
MI,3866542,3866542-1
MI,3866548,3866548-1
MI,3866592,3866592-1
MI,3866598,3866598-1
MI,3866666,3866666-1
MI,3866714,3866714-1
MI,3866721,3866721-1
MI,3866767,3866767-1
MI,3866769,3861602-1
MI,3866825,3866825-1
MI,3866881,3862577-2
MI,3866895,3866895-1
MI,3866896,3866896-1
MI,3866926,3866926-1
MI,3866932,3866932-1
MI,3866934,3866934-1
MI,3866936,3866936-1
MI,3866940,3866940-1
MI,3866966,3866966-1
MI,3866968,3866968-1
MI,3866975,3866975-1
MI,3866978,3866978-1
MI,3867084,3867084-1
MI,3867088,3867088-1
MI,3867115,3867115-1
MI,3867160,3867160-1
MI,3867177,3867177-1
MI,3867240,3867240-1
MI,3867250,3867250-1
MI,3867288,3867288-1
MI,3867298,3867298-1
MI,3867312,3865923-1
MI,3867315,3867315-1
MI,3867360,3867360-1
MI,3867427,3867427-1
MI,3867462,3867462-1
MI,3867477,3867477-1
MI,3867485,3863670-1
MI,3867521,3867521-1
MI,3867530,3862956-1
MI,3867533,3867533-1
MI,3867534,3865831-2
MI,3867544,3867544-1
MI,3867545,3867545-1
MI,3867640,3867640-1
MI,3867740,3867740-1
