citing_pat	cited_pat	year(patent.date)
7185760	3865953	2007
7185760	4144967	2007
4391358	3866004	1983
5597229	3866034	1997
6142701	3866034	2000
6320894	3866139	2001
5068861	3866139	1991
4187540	3866171	1980
8142820	3866171	2012
4216565	3866271	1980
4116224	3866285	1978
4154220	3866285	1979
4167936	3866285	1979
4172311	3866285	1979
4392482	3866285	1983
4003364	3866285	1977
5839236	3866369	1998
5582899	3866384	1996
5819428	3866473	1998
6758098	3866473	2004
4617014	3866473	1986
4690673	3866473	1987
5217355	3866473	1993
4237794	3866542	1980
4116194	3866592	1978
4183346	3866592	1980
4011853	3866592	1977
4533345	3866598	1985
4533345	3906929	1985
4533345	3913577	1985
5540532	3866767	1996
4786229	3866767	1988
4863335	3866767	1989
4863335	3873902	1989
4863335	3978995	1989
4863335	4136909	1989
6089795	3866769	2000
6089795	3979152	2000
8505711	3866769	2013
7959397	3866769	2011
4076288	3866825	1978
6235166	3866926	2001
7208047	3866926	2007
6929765	3866926	2005
D389427	3866932	1998
5411237	3866934	1995
5579795	3866934	1996
6032917	3866934	2000
4214770	3866934	1980
5277211	3866934	1994
5868267	3866936	1999
5975345	3866936	1999
4925048	3866936	1990
5716352	3866966	1998
5716352	3901547	1998
5716352	4094016	1998
5807376	3866966	1998
5807376	3901547	1998
5807376	4094016	1998
6817641	3866966	2004
6817641	4094016	2004
4865376	3866966	1989
4921293	3866966	1990
4921293	3877780	1990
4946380	3866966	1990
4946380	4094016	1990
4955918	3866966	1990
4955918	4094016	1990
4990162	3866966	1991
4990162	3901547	1991
5108140	3866966	1992
5108140	3901547	1992
5108140	4094016	1992
5209715	3866966	1993
5280981	3866966	1994
5280981	3901547	1994
7197962	3866966	2007
7197962	3901547	2007
7370896	3866966	2008
7370896	3901547	2008
7370896	3978605	2008
7370896	4484775	2008
8439414	3866966	2013
8439414	3901547	2013
7455348	3866968	2008
7455348	4290639	2008
5036679	3867115	1991
8418689	3867115	2013
5098612	3867160	1992
4584822	3867240	1986
4584822	4379103	1986
5538524	3867250	1996
3939662	3867250	1976
6616835	3867288	2003
4378320	3867298	1983
4414140	3867312	1983
4451578	3867312	1984
4593014	3867312	1986
4837192	3867312	1989
4965236	3867312	1990
5132264	3867312	1992
4230604	3867315	1980
4391952	3867315	1983
4393159	3867315	1983
4393176	3867315	1983
5017784	3867315	1991
5017784	4305847	1991
8281737	3867315	2012
5859952	3867485	1999
8376322	3867485	2013
6436425	3867521	2002
6436425	3867533	2002
6436425	4360451	2002
6436425	4465663	2002
4606918	3867521	1986
4770874	3867521	1988
4772466	3867521	1988
4933179	3867521	1990
6933286	3867521	2005
6933286	4395393	2005
5160734	3867521	1992
4100271	3867533	1978
4188373	3867533	1980
5135751	3867533	1992
5135751	4360451	1992
5135751	4465663	1992
4108188	3867640	1978
5969622	3867640	1999
6008729	3867640	1999
6087947	3867640	2000
7053783	3867640	2006
5001463	3867640	1991
4987644	3867740	1991
4987644	3952371	1991
4497461	3867750	1985
6403503	3867758	2002
4868035	3867758	1989
5274196	3867758	1993
4091558	3867779	1978
4651544	3867823	1987
4651544	3979932	1987
4811577	3867823	1989
4213437	3867919	1980
5370160	3867999	1994
5515881	3867999	1996
5626170	3867999	1997
6378657	3867999	2002
6779633	3867999	2004
4815566	3867999	1989
4815566	4101000	1989
5168844	3867999	1992
5168844	4462620	1992
4033432	3867999	1977
5228536	3867999	1993
7931125	3868105	2011
7931125	3984113	2011
5494298	3868114	1996
4874180	3868114	1989
4944520	3868114	1990
7682271	3868114	2010
5354068	3868114	1994
6763764	3868126	2004
5507537	3868132	1996
5507537	4447077	1996
4884830	3868132	1989
4921282	3868132	1990
4921282	3973752	1990
7520538	3868132	2009
3982800	3868156	1976
4411960	3868235	1983
6609761	3868444	2003
8388546	3868565	2013
8425425	3868565	2013
8425425	3983474	2013
5592401	3868565	1997
5676157	3868565	1997
5676157	3983474	1997
5930741	3868565	1999
6162190	3868565	2000
6162190	3983474	2000
7302982	3868565	2007
6236875	3868565	2001
6236875	3983474	2001
8060185	3868565	2011
8060185	3983474	2011
8060185	4017858	2011
8060185	4298874	2011
8060185	4339953	2011
6294909	3868565	2001
8043281	3868565	2011
7217276	3868565	2007
7217276	3983474	2007
7217276	4017858	2007
7217276	4298874	2007
7217276	4339953	2007
6490467	3868565	2002
6490467	3983474	2002
7772849	3868565	2010
7772849	3983474	2010
4287809	3868565	1981
4287809	3983474	1981
4287809	4017858	1981
6549004	3868565	2003
6549004	3983474	2003
6597175	3868565	2003
6682981	3868565	2004
6713327	3868565	2004
6765279	3868565	2004
8478382	3868565	2013
4710708	3868565	1987
4710708	3983474	1987
4793355	3868565	1988
4793355	3983474	1988
