treatment	grant_year
3879423	1975
3879437	1975
3879439	1975
3879454	1975
3879471	1975
3879491	1975
3879542	1975
3879543	1975
3879586	1975
3879596	1975
3879600	1975
3879628	1975
3879641	1975
3879674	1975
3879700	1975
3879718	1975
3879723	1975
3879873	1975
3879903	1975
3879909	1975
3879944	1975
3879947	1975
3879995	1975
3880000	1975
3880076	1975
3880086	1975
3880121	1975
3880126	1975
3880127	1975
3880128	1975
3880194	1975
3880276	1975
3880289	1975
3880298	1975
3880299	1975
3880317	1975
3880333	1975
3880334	1975
3880337	1975
3880360	1975
3880379	1975
3880381	1975
3880398	1975
3880414	1975
3880426	1975
3880445	1975
3880450	1975
3880457	1975
3880464	1975
3880467	1975
3880473	1975
3880481	1975
3880489	1975
3880555	1975
3880645	1975
3880743	1975
3880775	1975
3880800	1975
3880801	1975
3880827	1975
3880878	1975
3880887	1975
3880912	1975
3880946	1975
3880947	1975
3880948	1975
3880962	1975
3880963	1975
3880977	1975
3881048	1975
3881051	1975
3881058	1975
3881076	1975
3881084	1975
3881112	1975
3881174	1975
3881207	1975
3881220	1975
3881221	1975
3881292	1975
3881294	1975
3881295	1975
3881304	1975
3881330	1975
3881351	1975
3881365	1975
3881366	1975
3881399	1975
3881403	1975
3881453	1975
3881457	1975
3881657	1975
3881680	1975
3881730	1975
3881733	1975
3881749	1975
3881767	1975
3881786	1975
3881790	1975
3881802	1975
3881839	1975
3881894	1975
3881958	1975
3881982	1975
3882003	1975
3882004	1975
3882050	1975
3882078	1975
3882112	1975
3882118	1975
3882139	1975
3882170	1975
3882240	1975
3882241	1975
3882245	1975
3882341	1975
3882371	1975
3882387	1975
3882442	1975
3882569	1975
3882570	1975
3882600	1975
3882604	1975
3882608	1975
3882621	1975
3882622	1975
3882653	1975
3882679	1975
3882721	1975
3882737	1975
3882761	1975
3882766	1975
3882771	1975
3882795	1975
3882799	1975
3882876	1975
3882897	1975
3882970	1975
3882991	1975
3882992	1975
3882997	1975
3882998	1975
3883000	1975
3883030	1975
3883049	1975
3883147	1975
3883192	1975
3883196	1975
3883251	1975
3883258	1975
3883479	1975
3883501	1975
3883544	1975
3883574	1975
3883575	1975
3883576	1975
3883581	1975
3883602	1975
3883622	1975
3883625	1975
3883628	1975
3883644	1975
3883646	1975
3883701	1975
3883753	1975
3883756	1975
3883760	1975
3883776	1975
3883804	1975
3883843	1975
3883903	1975
3883915	1975
3883924	1975
3883944	1975
3883961	1975
3883972	1975
3883981	1975
3884002	1975
3884055	1975
3884063	1975
3884116	1975
3884121	1975
3884161	1975
3884163	1975
3884179	1975
3884186	1975
3884255	1975
3884308	1975
3884328	1975
3884363	1975
3884368	1975
3884376	1975
3884383	1975
3884395	1975
3884447	1975
3884450	1975
3884454	1975
3884483	1975
3884484	1975
3884493	1975
3884579	1975
3884590	1975
3884602	1975
3884604	1975
3884606	1975
3884789	1975
3884839	1975
3884852	1975
3884860	1975
3884875	1975
3884886	1975
3884934	1975
3884982	1975
3885004	1975
3885036	1975
3885090	1975
3885165	1975
3885268	1975
3885294	1975
3885327	1975
3885361	1975
3885364	1975
3885386	1975
3885389	1975
3885447	1975
3885536	1975
3885537	1975
3885538	1975
3885540	1975
3885545	1975
3885546	1975
3885605	1975
3885607	1975
3885613	1975
3885635	1975
3885654	1975
3885686	1975
3885690	1975
3885747	1975
3885753	1975
3885764	1975
3885773	1975
3885776	1975
3885799	1975
3885810	1975
3885820	1975
3885888	1975
3885899	1975
3885943	1975
3886057	1975
3886143	1975
