patent_id	inventor_id
3867298	3867298-1
3867312	3865923-1
3867315	3867315-1
3867315	3867315-2
3867360	3867360-1
3867427	3867427-1
3867462	3867462-1
3867462	3867462-2
3867477	3867477-1
3867485	3863670-1
3867521	3867521-1
3867521	3867521-2
3867530	3862956-1
3867533	3867533-1
3867534	3865831-2
3867544	3867544-1
3867545	3867545-1
3867545	3859441-1
3867545	3867545-3
3867640	3867640-1
3867740	3867740-1
3867740	3867740-2
3867747	3867747-1
3867750	3867750-1
3867758	3867758-1
3867772	3861602-1
3867779	3867779-1
3867823	3867823-1
3867843	3867843-1
3867919	3867919-1
3867919	3867919-2
3867999	3867999-1
3868015	3860111-1
3868020	3868020-1
3868105	3868105-1
3868114	3868114-1
3868126	3866940-1
3868126	3868126-2
3868132	3868132-1
3868156	3868156-1
3868192	3868192-1
3868192	3868192-2
3868209	3868209-1
3868235	3868235-1
3868425	3868425-1
3868426	3868425-1
3868444	3868444-1
3868444	3868444-2
3868565	3868565-1
3868570	3868570-1
3868627	3868627-1
3868651	3868651-1
3868730	3868730-1
3868730	3868730-2
3868730	3868730-3
3868730	3868730-4
3868732	3868732-1
3868752	3868752-1
3868766	3868766-1
3868766	3868766-2
3868766	3868766-3
3868788	3868788-1
3868796	3868796-1
3868798	3868798-1
3868846	3868846-1
3868846	3868846-2
3868864	3868864-1
3868864	3868864-2
3868868	3868868-1
3868886	3868886-1
3868888	3868888-1
3868889	3866520-1
3868896	3868896-1
3868896	3868896-2
3868896	3868896-3
3868923	3868923-1
3868930	3861361-1
3868930	3868930-2
3868930	3868930-3
3868934	3868934-1
3868942	3868942-1
3868945	3868945-1
3868945	3868945-2
3868986	3868986-1
3868991	3868991-1
3869001	3869001-1
3869015	3860259-2
3869017	3860258-3
3869017	3869017-2
3869017	3860258-2
3869017	3860258-1
3869019	3869019-1
3869025	3869025-1
3869038	3869038-1
3869038	3869038-2
3869040	3869040-1
3869078	3869078-1
3869097	3869097-1
3869097	3869097-2
3869098	3858826-1
3869138	3860259-2
3869139	3869139-1
