patent_id	inventor_id
3860658	3860658-1
3860658	3860658-2
3860658	3860658-3
3860658	3860658-4
3860664	3860664-1
3860676	3860676-1
3860676	3860676-2
3860692	3860692-1
3860692	3860692-2
3860697	3860697-1
3860718	3860718-1
3860725	3860725-1
3860730	3860730-1
3860731	3860725-1
3860736	3860736-1
3860755	3860755-1
3860755	3860755-2
3860757	3860757-1
3860759	3860759-1
3860759	3860759-2
3860767	3860767-1
3860767	3860767-2
3860769	3860769-1
3860778	3860778-1
3860778	3860778-2
3860780	3859865-1
3860782	3860782-1
3860784	3860784-1
3860784	3860784-2
3860790	3860790-1
3860795	3860795-1
3860800	3860800-1
3860815	3860815-1
3860822	3860822-1
3860823	3859528-2
3860823	3859528-3
3860824	3860824-1
3860832	3860832-1
3860833	3860833-1
3860835	3860835-1
3860835	3860835-2
3860835	3860835-3
3860837	3860837-1
3860846	3860846-1
3860847	3860847-1
3860854	3860854-1
3860855	3860855-1
3860862	3860862-1
3860862	3860862-2
3860873	3860873-1
3860876	3860876-1
3860877	3860877-1
3860877	3860877-2
3860877	3860877-3
3860880	3860880-1
3860880	3860880-2
3860885	3860885-1
3860888	3860888-1
3860889	3860889-1
3860889	3860889-2
3860891	3860891-1
3860892	3860892-1
3860892	3860892-2
3860895	3860895-1
3860895	3860895-2
3860910	3860910-1
3860911	3860911-1
3860911	3860911-2
3860911	3860911-3
3860912	3860912-1
3860913	3860913-1
3860913	3860913-2
3860918	3860918-1
3860921	3860921-1
3860921	3860921-2
3860924	3860924-1
3860926	3860926-1
3860932	3860932-1
3860934	3860934-1
3860934	3860934-2
3860934	3860934-3
3860934	3860934-4
3860946	3860946-1
3860952	3860952-1
3860952	3860952-2
3860952	3860952-3
3860952	3860952-4
3860952	3860952-5
3860958	3860958-1
3860965	3860965-1
3860968	3860968-1
3860970	3860970-1
3860971	3860971-1
3860973	3860973-1
3860973	3860973-2
3860974	3860974-1
3860974	3860974-2
3860974	3860974-3
3860975	3860975-1
3860986	3860986-1
3860992	3860992-1
3860993	3860993-1
3860998	3860998-1
3861003	3861003-1
3861006	3861006-1
3861023	3861023-1
3861029	3861029-1
3861029	3861029-2
3861030	3861030-1
3861030	3861030-2
3861034	3861034-1
3861035	3861035-1
3861035	3861035-2
3861036	3861036-1
3861037	3861037-1
3861037	3861037-2
3861045	3861045-1
3861045	3861045-2
3861045	3861045-3
3861052	3861052-1
3861053	3861053-1
3861058	3861058-1
3861064	3861064-1
3861064	3861064-2
3861072	3861072-1
3861074	3861074-1
3861078	3861078-1
3861097	3861097-1
3861097	3861097-2
3861099	3861099-1
3861104	3861104-1
3861123	3861123-1
3861123	3861123-2
3861126	3861126-1
3861136	3861136-1
3861137	3861137-1
3861137	3861137-2
3861138	3861138-1
3861138	3861138-2
3861150	3861150-1
3861162	3860269-1
3861162	3860269-3
3861162	3860269-2
3861162	3861162-4
3861162	3861162-5
3861162	3860269-4
3861168	3861168-1
3861182	3861182-1
3861213	3861213-1
3861220	3861220-1
3861222	3859966-1
3861222	3861222-2
3861223	3859966-1
3861223	3861222-2
3861229	3861229-1
3861239	3859976-1
3861248	3861248-1
3861255	3861255-1
3861260	3861260-1
3861260	3861260-2
3861265	3861265-1
3861271	3861271-1
3861279	3861279-1
3861289	3861289-1
3861289	3861289-2
3861304	3861304-1
3861306	3861306-1
3861306	3861306-2
3861306	3861306-3
3861310	3861310-1
3861310	3861310-2
3861335	3861335-1
3861350	3861350-1
3861352	3861352-1
3861354	3861354-1
3861354	3859529-2
3861355	3861355-1
3861355	3861355-2
3861358	3861358-1
3861362	3861362-1
3861370	3861370-1
3861374	3861374-1
3861374	3861374-2
3861382	3861382-1
3861386	3861386-1
3861386	3861386-2
3861387	3861387-1
3861387	3861387-2
3861391	3861391-1
3861391	3861391-2
3861392	3860151-1
3861401	3861401-1
3861401	3861401-2
3861402	3861401-2
3861415	3861415-1
3861421	3861421-1
3861430	3861430-1
3861431	3861431-1
3861464	3861464-1
3861464	3861464-2
3861480	3861480-1
3861480	3861480-2
3861480	3861480-3
3861483	3861483-1
3861484	3861484-1
3861487	3861487-1
3861489	3861489-1
3861489	3861489-2
3861489	3861489-3
3861489	3861489-4
3861521	3861521-1
3861522	3861522-1
3861522	3861522-2
3861523	3861523-1
3861523	3861523-2
3861535	3861535-1
3861535	3861535-2
3861535	3861535-3
3861538	3861538-1
3861541	3861541-1
3861541	3861541-2
3861545	3861545-1
3861554	3860992-1
3861554	3861554-2
3861559	3861559-1
3861568	3861568-1
3861568	3861568-2
3861569	3861569-1
3861576	3861576-1
3861576	3861576-2
3861582	3861582-1
3861583	3861583-1
3861583	3861583-2
3861584	3858793-1
3861586	3860170-1
3861587	3860170-1
3861589	3860837-1
3861595	3861595-1
3861605	3861605-1
3861605	3861605-2
3861619	3861619-1
3861623	3861623-1
3861624	3861150-1
3861629	3861629-1
3861643	3861643-1
3861659	3861659-1
3861674	3861674-1
3861675	3861675-1
3861688	3861688-1
3861697	3861697-1
3861702	3861702-1
3861714	3861714-1
3861714	3861714-2
3861718	3861718-1
3861727	3861727-1
3861727	3861727-2
3861730	3861730-1
3861738	3861738-1
3861739	3861739-1
3861748	3861748-1
3861768	3861702-1
3861774	3861774-1
3861776	3861595-1
3861783	3861783-1
3861783	3861783-2
3861783	3861783-3
3861784	3861784-1
3861795	3861795-1
3861799	3861799-1
3861799	3861799-2
3861800	3861800-1
3861800	3861800-2
3861801	3861801-1
3861801	3861801-2
3861802	3861802-1
3861808	3861808-1
3861809	3861809-1
3861810	3861810-1
3861814	3861814-1
3861825	3861825-1
3861833	3861833-1
3861833	3861833-2
3861833	3861833-3
3861839	3861839-1
3861842	3861842-1
3861845	3861845-1
3861850	3861850-1
3861862	3861862-1
3861862	3861862-2
3861863	3861863-1
3861865	3861865-1
3861867	3861867-1
3861879	3861879-1
3861884	3861884-1
3861884	3859059-1
3861895	3861895-1
3861913	3861913-1
3861916	3861916-1
3861928	3861928-1
3861928	3861928-2
3861932	3861932-1
3861932	3861932-2
3861932	3861932-3
3861936	3861936-1
3861953	3861953-1
3861953	3861953-2
3861953	3861953-3
3861953	3859144-1
3861953	3859144-2
3861963	3861963-1
3861963	3861963-2
3861963	3861963-3
3861970	3861970-1
3861970	3861970-2
3861977	3861977-1
3861981	3861981-1
3861995	3861995-1
3861998	3861998-1
3861998	3861998-2
3861999	3861999-1
3861999	3861999-2
3862000	3862000-1
3862000	3862000-2
3862000	3862000-3
3862002	3862002-1
3862016	3862016-1
3862016	3862016-2
3862018	3862018-1
3862028	3862028-1
3862028	3862028-2
3862032	3862032-1
3862032	3862032-2
3862037	3862037-1
3862037	3862037-2
3862043	3862043-1
3862048	3862048-1
3862076	3862076-1
3862076	3862076-2
3862095	3859388-1
3862095	3862095-2
3862104	3862104-1
3862106	3862106-1
3862115	3859665-1
3862122	3862122-1
3862122	3862122-2
3862134	3862134-1
3862142	3862142-1
3862142	3862142-2
3862142	3862142-3
3862142	3862142-4
3862142	3862142-5
3862190	3862190-1
3862191	3862191-1
3862191	3862191-2
3862225	3862225-1
3862225	3862225-2
3862229	3862229-1
3862237	3862237-1
3862237	3862237-2
3862255	3862255-1
3862255	3862255-2
3862261	3862261-1
3862273	3862273-1
3862273	3862273-2
3862274	3859388-1
3862289	3862289-1
3862289	3862289-2
3862289	3862289-3
3862292	3862292-1
3862292	3862292-2
3862292	3862292-3
3862296	3862296-1
3862296	3862296-2
3862319	3862319-1
3862319	3862319-2
3862327	3862327-1
3862327	3862327-2
3862327	3862327-3
3862341	3862341-1
3862345	3862345-1
3862345	3862345-2
3862351	3862351-1
3862351	3862351-2
3862355	3862355-1
3862360	3862360-1
3862360	3861783-1
3862360	3862360-3
3862360	3862360-4
3862360	3861783-3
3862360	3862360-6
3862362	3862362-1
3862375	3862375-1
3862377	3862377-1
3862385	3862385-1
3862397	3862397-1
3862397	3862397-2
3862398	3862398-1
3862406	3862406-1
3862410	3862410-1
3862413	3862413-1
3862420	3862420-1
3862420	3862420-2
3862423	3862423-1
3862423	3862423-2
3862428	3862428-1
3862431	3862431-1
3862431	3862431-2
3862432	3862432-1
3862436	3862436-1
3862449	3862449-1
3862449	3862449-2
3862468	3862468-1
3862476	3862476-1
3862476	3862476-2
3862476	3862476-3
3862476	3862476-4
3862477	3862477-1
3862477	3862477-2
3862487	3862487-1
3862489	3862489-1
3862497	3862497-1
3862497	3862497-2
3862499	3862499-1
3862499	3862499-2
3862504	3862504-1
3862504	3862504-2
3862504	3862504-3
3862508	3862508-1
3862517	3862517-1
3862526	3862526-1
3862528	3862528-1
3862530	3862530-1
3862535	3862535-1
3862541	3862541-1
3862543	3862543-1
3862545	3862545-1
3862545	3862545-2
3862555	3862555-1
3862582	3862582-1
3862595	3862595-1
3862596	3862596-1
3862602	3862602-1
3862608	3862608-1
3862617	3862617-1
3862622	3862543-1
3862624	3862624-1
3862626	3862626-1
3862627	3862627-1
3862635	3862635-1
3862644	3862644-1
3862644	3862644-2
3862646	3862646-1
3862692	3862692-1
3862693	3862693-1
3862694	3862694-1
3862699	3862699-1
3862703	3862703-1
3862705	3862705-1
3862705	3862705-2
3862726	3862726-1
3862726	3862726-2
3862730	3862730-1
3862731	3862731-1
3862741	3862705-1
3862741	3862741-2
3862742	3862742-1
3862747	3862747-1
3862753	3862753-1
3862757	3862757-1
3862761	3862761-1
3862764	3859925-1
3862766	3862766-1
3862775	3862775-1
3862787	3862787-1
3862791	3862791-1
3862793	3862793-1
3862803	3862803-1
3862803	3862803-2
3862803	3862803-3
3862814	3862814-1
3862815	3862815-1
3862815	3862815-2
3862836	3862836-1
3862836	3862836-2
3862850	3862850-1
3862852	3862852-1
3862866	3862866-1
3862866	3862866-2
3862875	3862875-1
3862883	3862883-1
3862886	3862886-1
3862900	3862900-1
3862910	3862910-1
3862933	3862933-1
3862940	3862939-1
3862940	3862940-2
3862940	3862187-1
3862951	3862951-1
3862951	3862951-2
3862951	3859333-2
3862969	3860629-2
3862970	3862970-1
3862980	3862980-1
3862980	3862980-2
3862989	3862989-1
3862991	3862991-1
3862992	3862992-1
3862993	3862993-1
3862993	3860664-1
3862994	3860664-1
3862997	3862255-1
3862999	3862999-1
3863002	3863002-1
3863002	3863002-2
3863005	3863005-1
3863005	3863005-2
3863017	3863017-1
3863019	3863019-1
3863021	3862351-2
3863021	3862351-1
3863027	3863027-1
3863032	3863032-1
3863032	3863032-2
3863032	3863032-3
3863034	3863032-2
3863037	3862351-2
3863037	3862351-1
3863039	3863039-1
3863039	3863039-2
3863040	3863040-1
3863040	3863040-2
3863049	3863049-1
3863060	3863060-1
3863060	3863060-2
3863060	3863060-3
3863060	3863060-4
3863070	3863070-1
3863070	3863070-2
3863073	3863073-1
3863082	3863082-1
3863082	3863082-2
3863093	3863093-1
3863094	3863093-1
3863098	3863098-1
3863103	3863103-1
3863103	3863103-2
3863115	3863115-1
3863140	3863140-1
3863140	3863140-2
3863140	3863140-3
3863144	3863144-1
3863144	3863144-2
3863144	3860311-1
3863158	3860877-1
3863158	3863158-2
3863163	3863163-1
3863163	3863163-2
3863163	3863163-3
3863175	3863175-1
3863176	3863176-1
3863176	3863176-2
3863176	3863176-3
3863178	3863178-1
3863180	3863180-1
3863182	3863182-1
3863185	3863185-1
3863192	3863192-1
3863195	3863195-1
3863197	3863197-1
3863200	3863200-1
3863202	3863202-1
3863206	3863206-1
3863230	3863230-1
3863230	3863230-2
3863235	3863235-1
3863235	3863235-2
3863237	3863237-1
3863242	3863242-1
3863250	3863250-1
3863251	3863251-1
3863251	3863251-2
3863257	3863257-1
3863257	3863257-2
3863259	3863259-1
3863259	3863259-2
3863259	3863259-3
3863261	3863261-1
3863262	3863262-1
3863262	3863262-2
3863262	3863262-3
3863262	3863262-4
3863298	3863298-1
3863298	3863298-2
3863332	3861783-3
3863332	3861783-1
3863355	3863355-1
3863355	3863355-2
3863357	3863357-1
3863357	3863355-2
3863369	3863369-1
3863370	3863370-1
3863383	3863383-1
3863393	3863393-1
3863395	3863395-1
3863397	3863397-1
3863404	3863404-1
3863412	3863412-1
3863412	3863412-2
3863412	3863412-3
3863412	3863412-4
3863421	3863421-1
3863421	3863421-2
3863436	3863436-1
3863436	3863436-2
3863456	3863456-1
3863462	3863462-1
3863463	3863463-1
3863463	3863463-2
3863464	3863464-1
3863464	3863464-2
3863472	3863472-1
3863477	3863477-1
3863481	3863481-1
3863486	3863486-1
3863487	3863487-1
3863487	3863487-2
3863489	3863489-1
3863489	3863489-2
3863493	3863493-1
3863501	3863501-1
3863501	3863501-2
3863501	3863501-3
3863504	3863504-1
3863505	3863505-1
3863508	3863508-1
3863508	3863508-2
3863512	3863512-1
3863517	3863517-1
3863534	3863534-1
3863538	3863538-1
3863539	3863539-1
3863539	3863539-2
3863541	3863541-1
3863541	3863541-2
3863551	3863551-1
3863553	3863553-1
3863554	3863554-1
3863555	3863555-1
3863555	3863555-2
3863558	3863558-1
3863570	3863570-1
3863576	3863576-1
3863577	3863577-1
3863577	3863577-2
3863584	3863584-1
3863590	3863590-1
3863590	3863590-2
3863590	3863590-3
3863601	3863601-1
3863610	3862543-1
3863622	3863622-1
3863625	3863625-1
3863625	3863625-2
3863625	3863625-3
3863625	3863625-4
3863635	3863635-1
3863637	3863637-1
3863637	3863637-2
3863637	3863637-3
3863639	3863639-1
3863657	3863657-1
3863668	3863668-1
3863668	3863668-2
3863676	3862646-1
3863677	3862646-1
3863687	3863687-1
3863688	3863688-1
3863688	3863688-2
3863693	3863693-1
