control	grant_year
3868834	1975
3868849	1975
3868855	1975
3868862	1975
3868863	1975
3868872	1975
3868873	1975
3868874	1975
3868875	1975
3868880	1975
3868895	1975
3868920	1975
3868921	1975
3868922	1975
3868943	1975
3868946	1975
3868949	1975
3868951	1975
3868958	1975
3868965	1975
3868970	1975
3868979	1975
3868981	1975
3868994	1975
3869012	1975
3869041	1975
3869042	1975
3869066	1975
3869069	1975
3869070	1975
3869084	1975
3869086	1975
3869088	1975
3869093	1975
3869103	1975
3869108	1975
3869119	1975
3869137	1975
3869146	1975
3869151	1975
3869159	1975
3869174	1975
3869186	1975
3869189	1975
3869190	1975
3869193	1975
3869203	1975
3869210	1975
3869228	1975
3869263	1975
3869264	1975
3869266	1975
3869273	1975
3869288	1975
3869295	1975
3869321	1975
3869345	1975
3869351	1975
3869363	1975
3869384	1975
3869385	1975
3869386	1975
3869388	1975
3869393	1975
3869417	1975
3869421	1975
3869433	1975
3869434	1975
3869438	1975
3869470	1975
3869542	1975
3869546	1975
3869553	1975
3869555	1975
3869556	1975
3869567	1975
3869577	1975
3869580	1975
3869583	1975
3869595	1975
3869596	1975
3869613	1975
3869614	1975
3869625	1975
3869649	1975
3869668	1975
3869676	1975
3869679	1975
3869700	1975
3869708	1975
3869711	1975
3869713	1975
3869721	1975
3869731	1975
3869732	1975
3869739	1975
3869749	1975
3869752	1975
3869753	1975
3869771	1975
3869775	1975
3869780	1975
3869781	1975
3869789	1975
3869790	1975
3869796	1975
3869804	1975
3869811	1975
3869816	1975
3869820	1975
3869829	1975
3869831	1975
3869835	1975
3869837	1975
3869841	1975
3869847	1975
3869862	1975
3869863	1975
3869885	1975
3869890	1975
3869891	1975
3869892	1975
3869899	1975
3869900	1975
3869901	1975
3869951	1975
3869959	1975
3869962	1975
3869971	1975
3869974	1975
3869977	1975
3869978	1975
3869980	1975
3869981	1975
3869986	1975
3869992	1975
3870009	1975
3870020	1975
3870021	1975
3870022	1975
3870025	1975
3870026	1975
3870027	1975
3870033	1975
3870038	1975
3870065	1975
3870066	1975
3870071	1975
3870082	1975
3870084	1975
3870089	1975
3870091	1975
3870093	1975
3870096	1975
3870098	1975
3870109	1975
3870111	1975
3870129	1975
3870145	1975
3870149	1975
3870150	1975
3870151	1975
3870153	1975
3870156	1975
3870164	1975
3870171	1975
3870172	1975
3870176	1975
3870181	1975
3870200	1975
3870204	1975
3870209	1975
3870212	1975
3870249	1975
3870251	1975
3870252	1975
3870254	1975
3870255	1975
3870262	1975
3870275	1975
3870280	1975
3870297	1975
3870311	1975
3870317	1975
3870332	1975
3870338	1975
3870341	1975
3870353	1975
3870359	1975
3870373	1975
3870387	1975
3870405	1975
3870408	1975
3870414	1975
3870427	1975
3870437	1975
3870445	1975
3870446	1975
3870458	1975
3870460	1975
3870467	1975
3870468	1975
3870473	1975
3870487	1975
3870491	1975
3870534	1975
3870577	1975
3870578	1975
3870579	1975
3870580	1975
3870587	1975
3870593	1975
3870602	1975
3870607	1975
3870627	1975
3870631	1975
3870633	1975
3870634	1975
3870656	1975
3870657	1975
3870668	1975
3870672	1975
3870674	1975
3870676	1975
3870677	1975
3870682	1975
3870686	1975
3870687	1975
3870709	1975
3870713	1975
3870715	1975
3870718	1975
3870758	1975
3870763	1975
3870764	1975
3870773	1975
3870777	1975
3870781	1975
3870784	1975
3870786	1975
3870804	1975
3870817	1975
3870818	1975
3870823	1975
3870824	1975
3870831	1975
3870839	1975
3870849	1975
3870853	1975
3870857	1975
3870866	1975
3870872	1975
3870874	1975
3870875	1975
3870889	1975
3870903	1975
3870906	1975
3870907	1975
3870917	1975
3870921	1975
3870924	1975
3870929	1975
3870949	1975
3870957	1975
3870958	1975
3870962	1975
3870964	1975
3870977	1975
3870995	1975
3870997	1975
3871001	1975
3871030	1975
3871044	1975
3871052	1975
3871057	1975
3871064	1975
3871078	1975
3871091	1975
3871094	1975
3871100	1975
3871110	1975
3871125	1975
3871126	1975
3871128	1975
3871133	1975
3871134	1975
3871135	1975
3871137	1975
3871139	1975
3871141	1975
3871144	1975
3871147	1975
3871151	1975
3871160	1975
3871161	1975
3871163	1975
3871176	1975
3871179	1975
3871180	1975
3871184	1975
3871188	1975
3871208	1975
3871217	1975
3871228	1975
3871229	1975
3871233	1975
3871243	1975
3871248	1975
3871253	1975
3871263	1975
3871278	1975
3871283	1975
3871307	1975
3871328	1975
3871355	1975
3871359	1975
3871371	1975
3871374	1975
3871375	1975
3871382	1975
3871390	1975
3871393	1975
3871401	1975
3871406	1975
3871422	1975
3871426	1975
3871428	1975
3871444	1975
3871449	1975
3871451	1975
3871452	1975
3871453	1975
3871460	1975
3871475	1975
3871476	1975
3871478	1975
3871479	1975
3871487	1975
3871494	1975
3871503	1975
3871515	1975
3871516	1975
3871520	1975
3871522	1975
3871527	1975
3871528	1975
3871538	1975
3871547	1975
3871553	1975
3871562	1975
3871570	1975
3871576	1975
3871582	1975
3871583	1975
3871593	1975
3871597	1975
3871603	1975
3871609	1975
3871610	1975
3871616	1975
3871619	1975
3871622	1975
3871653	1975
3871654	1975
3871655	1975
3871667	1975
3871674	1975
3871675	1975
3871693	1975
3871708	1975
3871722	1975
3871723	1975
3871728	1975
3871731	1975
3871734	1975
3871754	1975
3871763	1975
3871767	1975
3871770	1975
3871775	1975
3871783	1975
3871787	1975
3871792	1975
3871803	1975
3871809	1975
3871811	1975
3871823	1975
3871826	1975
3871828	1975
3871829	1975
3871847	1975
3871856	1975
3871865	1975
3871880	1975
3871881	1975
3871889	1975
3871906	1975
3871912	1975
3871928	1975
3871937	1975
3871944	1975
3871947	1975
3871948	1975
3871955	1975
3871969	1975
3871977	1975
3871983	1975
3872007	1975
3872008	1975
3872012	1975
3872014	1975
3872021	1975
3872022	1975
3872030	1975
3872042	1975
3872051	1975
3872084	1975
3872098	1975
3872101	1975
3872139	1975
3872157	1975
3872158	1975
3872159	1975
3872168	1975
3872171	1975
3872178	1975
3872181	1975
3872191	1975
3872192	1975
3872195	1975
3872199	1975
3872211	1975
3872218	1975
3872229	1975
3872230	1975
3872234	1975
3872242	1975
3872253	1975
3872255	1975
3872260	1975
3872266	1975
3872293	1975
3872313	1975
3872323	1975
3872330	1975
3872332	1975
3872354	1975
3872355	1975
3872369	1975
3872371	1975
3872395	1975
3872407	1975
3872408	1975
3872419	1975
3872427	1975
3872429	1975
3872442	1975
3872445	1975
3872451	1975
3872454	1975
3872455	1975
3872469	1975
3872472	1975
3872473	1975
3872474	1975
3872477	1975
3872517	1975
3872520	1975
3872525	1975
3872533	1975
3872542	1975
3872550	1975
3872559	1975
3872566	1975
3872573	1975
3872574	1975
3872575	1975
3872576	1975
3872581	1975
3872583	1975
3872590	1975
3872594	1975
3872596	1975
3872597	1975
3872609	1975
3872610	1975
3872613	1975
3872614	1975
3872627	1975
3872635	1975
3872637	1975
3872643	1975
3872647	1975
3872657	1975
3872664	1975
3872679	1975
3872682	1975
3872696	1975
3872708	1975
3872711	1975
3872714	1975
3872715	1975
3872719	1975
3872725	1975
3872726	1975
3872727	1975
3872734	1975
3872739	1975
3872743	1975
3872752	1975
