michigan	similar	similarity
3953463	4535176	0.227272727273
3953468	4067995	0.363636363636
3953468	4186127	0.34328358209
3953468	3963660	0.34328358209
3953468	3959289	0.34328358209
3953473	4061657	0.428571428571
3953473	3975404	0.428571428571
3953473	3953499	0.384615384615
3953473	3954832	0.323529411765
3953499	3954832	0.525423728814
3953499	4069386	0.51724137931
3953499	3975404	0.475409836066
3953499	3988372	0.456140350877
3953598	3963660	0.428571428571
3953598	3993679	0.40625
3953598	4089973	0.363636363636
3953598	3959289	0.34328358209
3953643	3953644	0.636363636364
3953643	4062823	0.304347826087
3953643	4209595	0.232876712329
3953643	4237241	0.216216216216
3953644	3953643	0.636363636364
3953644	4062823	0.267605633803
3953644	4209595	0.232876712329
3953644	4237241	0.216216216216
3953821	4020445	0.304347826087
3953821	3947800	0.25
3953955	4028861	0.363636363636
3953955	3958588	0.34328358209
3953955	3961638	0.267605633803
3953955	4034772	0.25
3953995	4055977	0.666666666667
3954039	4100831	0.267605633803
3954039	4197777	0.267605633803
3954039	4148241	0.25
3954039	4184401	0.25
3954094	3941107	0.232876712329
3954152	4018141	0.304347826087
3954245	4397440	0.216216216216
3954245	8313144	0.216216216216
3954307	3980343	0.551724137931
3954307	4753487	0.216216216216
3954417	3957445	0.267605633803
3954417	4115071	0.25
3954440	4003734	0.304347826087
3954440	4050922	0.304347826087
3954440	4336059	0.28571428571400004
3954440	4030910	0.28571428571400004
3954571	4064034	0.451612903226
3954583	3975371	0.323529411765
3954583	4490547	0.28358208955200004
3954583	4304722	0.27868852459000004
3954583	6242604	0.275362318841
3954645	4182637	0.275362318841
3954645	3986827	0.239436619718
3954645	5441748	0.222222222222
3954645	4118182	0.216216216216
3954672	5409870	0.323529411765
3954672	7473392	0.25
3954672	4598054	0.25
3954672	4595662	0.232876712329
3954746	4080497	0.475409836066
3954746	3954747	0.323529411765
3954746	3953515	0.272727272727
