number	inventor_id	assignee_id	date
4447077	4447077-1	1bbdbd9eef6024834f55457058a64906	1984-05-08
4447077	4447077-1	1bbdbd9eef6024834f55457058a64906	1984-05-08
4447094	3909084-1	530fb9598132a2521feb39079ec695cb	1984-05-08
4447094	3981065-2	530fb9598132a2521feb39079ec695cb	1984-05-08
4447094	3909084-3	530fb9598132a2521feb39079ec695cb	1984-05-08
4447094	3909084-1	530fb9598132a2521feb39079ec695cb	1984-05-08
4447094	3981065-2	530fb9598132a2521feb39079ec695cb	1984-05-08
4447094	3909084-3	530fb9598132a2521feb39079ec695cb	1984-05-08
4447188	4447188-1	14e54976918e43614a46a525d24db127	1984-05-08
4447188	4365817-1	14e54976918e43614a46a525d24db127	1984-05-08
4447188	4447188-1	14e54976918e43614a46a525d24db127	1984-05-08
4447188	4365817-1	14e54976918e43614a46a525d24db127	1984-05-08
4447192	3975468-1	5525079595dc1bede0559032c4e84fe3	1984-05-08
4447192	3975468-1	5525079595dc1bede0559032c4e84fe3	1984-05-08
4447277	4447277-1	e34d8ad7046461ead1e234d78645f6cb	1984-05-08
4447277	4447277-2	e34d8ad7046461ead1e234d78645f6cb	1984-05-08
4447277	4447277-1	e34d8ad7046461ead1e234d78645f6cb	1984-05-08
4447277	4447277-2	e34d8ad7046461ead1e234d78645f6cb	1984-05-08
4447383	4447383-1	a70bc7e08196f5aa13f090d635b6d5ae	1984-05-08
4447383	4129249-1	a70bc7e08196f5aa13f090d635b6d5ae	1984-05-08
4447383	4447383-1	a70bc7e08196f5aa13f090d635b6d5ae	1984-05-08
4447383	4129249-1	a70bc7e08196f5aa13f090d635b6d5ae	1984-05-08
4447390	4041742-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447390	4041742-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447449	4447449-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447449	4447449-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447451	4447451-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447451	4447451-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447499	4042563-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-08
4447499	4107390-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-08
4447499	4042563-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-08
4447499	4107390-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-08
4447503	4313760-1	c6f0ceb5b7d4e624c23566d43285ef07	1984-05-08
4447503	3991928-3	c6f0ceb5b7d4e624c23566d43285ef07	1984-05-08
4447503	4313760-1	c6f0ceb5b7d4e624c23566d43285ef07	1984-05-08
4447503	3991928-3	c6f0ceb5b7d4e624c23566d43285ef07	1984-05-08
4447620	4109082-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447620	4013695-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447620	4109082-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447620	4013695-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-08
4447640	4147725-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447640	4147725-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447650	4242285-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447650	4242285-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4272636-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4348265-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4086253-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4272636-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4348265-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447656	4086253-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	4447664-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	4447664-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	3901806-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	4447664-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	4447664-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447664	3901806-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-08
4447698	4447698-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447698	4001540-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447698	4447698-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447698	4001540-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-08
4447775	4447775-1	f0132187dffe7f521bebb4a4ef3c16fd	1984-05-08
4447775	4447775-2	f0132187dffe7f521bebb4a4ef3c16fd	1984-05-08
4447775	4447775-1	f0132187dffe7f521bebb4a4ef3c16fd	1984-05-08
4447775	4447775-2	f0132187dffe7f521bebb4a4ef3c16fd	1984-05-08
4447808	3882570-3	c1c9d03fd47bbda0133cc29c9ce2422e	1984-05-08
4447808	3882570-3	c1c9d03fd47bbda0133cc29c9ce2422e	1984-05-08
4447860	4447860-1	9a4bc08d58687a98f32be292ec11548b	1984-05-08
4447860	3868896-2	9a4bc08d58687a98f32be292ec11548b	1984-05-08
4447860	4447860-1	9a4bc08d58687a98f32be292ec11548b	1984-05-08
4447860	3868896-2	9a4bc08d58687a98f32be292ec11548b	1984-05-08
4448001	4448001-1	a821f2c5fcf9f746dad24717f050d320	1984-05-15
4448001	4327532-1	a821f2c5fcf9f746dad24717f050d320	1984-05-15
4448001	4448001-1	a821f2c5fcf9f746dad24717f050d320	1984-05-15
4448001	4327532-1	a821f2c5fcf9f746dad24717f050d320	1984-05-15
4448012	3982872-2	5ee4bf42f2a9256614f2fb34d22e6b8b	1984-05-15
4448012	3860523-2	5ee4bf42f2a9256614f2fb34d22e6b8b	1984-05-15
4448012	3982872-2	5ee4bf42f2a9256614f2fb34d22e6b8b	1984-05-15
4448012	3860523-2	5ee4bf42f2a9256614f2fb34d22e6b8b	1984-05-15
4448028	4448028-1	891981ce48b5bdd9f8603ba3632c2dce	1984-05-15
4448028	4448028-2	891981ce48b5bdd9f8603ba3632c2dce	1984-05-15
4448028	4448028-1	891981ce48b5bdd9f8603ba3632c2dce	1984-05-15
4448028	4448028-2	891981ce48b5bdd9f8603ba3632c2dce	1984-05-15
4448053	4419885-2	731496c08be4dec613fb8b6174113b05	1984-05-15
4448053	4419885-2	731496c08be4dec613fb8b6174113b05	1984-05-15
4448063	3962910-2	776327b61053c2e758f2e3b0c744a672	1984-05-15
4448063	3988925-2	776327b61053c2e758f2e3b0c744a672	1984-05-15
4448063	3962910-2	776327b61053c2e758f2e3b0c744a672	1984-05-15
4448063	3988925-2	776327b61053c2e758f2e3b0c744a672	1984-05-15
4448066	3897848-4	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448066	4364351-2	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448066	3897848-4	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448066	4364351-2	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448094	4409859-1	ea5f94b4091b5b9ce19cee7ef7d1455c	1984-05-15
4448094	4409859-1	ea5f94b4091b5b9ce19cee7ef7d1455c	1984-05-15
4448101	4448101-1	afdd37a6d7b454a0e98576e8151b06a0	1984-05-15
4448101	4448101-1	afdd37a6d7b454a0e98576e8151b06a0	1984-05-15
4448153	4034026-1	e2e9caae43d94bc3cec0c7288fa2c5c3	1984-05-15
4448153	4034026-1	e2e9caae43d94bc3cec0c7288fa2c5c3	1984-05-15
4448155	4448155-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448155	4254749-2	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448155	4448155-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448155	4254749-2	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448176	4246988-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448176	4246988-1	618a2b53054adc3e33ac829f50ad5eff	1984-05-15
4448235	4448235-1	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448235	4448235-1	8d5907a4804a4989a3a6b6555fabb74c	1984-05-15
4448302	4448302-1	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4278015-1	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-3	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-4	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-5	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-1	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4278015-1	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-3	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-4	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448302	4448302-5	7c21e84731d21eb7491aa0920313d390	1984-05-15
4448337	4406386-2	542c36d180c331f4dd951a06321a7a3b	1984-05-15
4448337	4406386-2	542c36d180c331f4dd951a06321a7a3b	1984-05-15
4448381	4448381-1	d01f15e44e778d65f4aef36734633ce6	1984-05-15
4448381	4448381-2	d01f15e44e778d65f4aef36734633ce6	1984-05-15
4448381	4448381-1	d01f15e44e778d65f4aef36734633ce6	1984-05-15
4448381	4448381-2	d01f15e44e778d65f4aef36734633ce6	1984-05-15
4448392	4448392-1	8b2401ee144f12942b30aca062762349	1984-05-15
4448392	4448392-1	8b2401ee144f12942b30aca062762349	1984-05-15
4448540	4432651-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448540	4432651-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448562	4448562-1	530fb9598132a2521feb39079ec695cb	1984-05-15
4448562	4448562-1	530fb9598132a2521feb39079ec695cb	1984-05-15
4448586	4440545-1	a575a126d2d9000c21965755c873cdcb	1984-05-15
4448586	4440545-1	a575a126d2d9000c21965755c873cdcb	1984-05-15
4448591	4225546-1	1b74a037b95447c7ce9deb8402022f66	1984-05-15
4448591	4225546-1	1b74a037b95447c7ce9deb8402022f66	1984-05-15
4448654	4025449-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448654	4370216-3	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448654	4370216-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448654	4025449-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448654	4370216-3	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448654	4370216-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448691	3915799-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448691	3915799-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-15
4448694	3862079-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
4448694	3862079-1	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-15
