citing	cited	citing_year	state	assignee_id
6000415	3860036	1999	CA	b2c7ca05911e61598e7d2afb6735744f
6000415	3860036	1999	CA	3038cf643c6668788308beac5f6c9ee8
6000415	3860036	1999	CA	b2c7ca05911e61598e7d2afb6735744f
6000415	3860036	1999	CA	3038cf643c6668788308beac5f6c9ee8
6012820	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6012820	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6876427	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6024455	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6024455	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6031665	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6031665	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6045894	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6045894	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6049419	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6049419	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6053795	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6057961	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6080467	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6088067	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6088159	3860036	2000	MN	NULL
6096375	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6101032	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6111696	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6111697	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6113811	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6120026	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6124971	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6141149	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
7652820	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
7652820	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
6157486	3860036	2000	MN	358d3cb746241ec1105de0542e47fbcd
6179948	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6208466	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6210785	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6256146	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6262842	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6264336	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6268961	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6297906	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6307676	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6322236	3860036	2001	CA	358d3cb746241ec1105de0542e47fbcd
6329046	3860036	2001	MN	358d3cb746241ec1105de0542e47fbcd
6335051	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
7297393	3860036	2007	MN	358d3cb746241ec1105de0542e47fbcd
7297393	3860036	2007	MN	358d3cb746241ec1105de0542e47fbcd
6352761	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6357880	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6368699	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
7348066	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7348066	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
6396631	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6407862	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6449092	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6449093	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6451414	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6455140	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6459514	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6475609	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6498683	3860036	2002	MN	358d3cb746241ec1105de0542e47fbcd
6506480	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6508560	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6531230	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6543153	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6565982	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6569515	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6573963	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6574045	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6590705	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6590707	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6610356	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6613819	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6626545	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6627300	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6641883	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6641900	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6654170	3860036	2003	MN	358d3cb746241ec1105de0542e47fbcd
6673275	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6685341	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6697195	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6721096	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6737154	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6744561	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6749427	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6760157	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6783349	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6788463	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6804058	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6808658	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6827886	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6829071	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
6830713	3860036	2004	MN	358d3cb746241ec1105de0542e47fbcd
7083847	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7141297	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7141297	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6924014	3860036	2005	MN	122f6df683ce33a8b1defaa3ca0fcb8f
6924014	3860036	2005	MN	122f6df683ce33a8b1defaa3ca0fcb8f
7459204	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7459204	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7147903	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7147903	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6926952	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6926952	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
7423708	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7423708	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7277141	3860036	2007	MN	358d3cb746241ec1105de0542e47fbcd
7277141	3860036	2007	MN	358d3cb746241ec1105de0542e47fbcd
6888675	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6888675	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6888677	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6888677	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
7038745	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7038745	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6999233	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6999233	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6934082	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6934082	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
7138173	3860036	2006	MN	122f6df683ce33a8b1defaa3ca0fcb8f
7138173	3860036	2006	MN	122f6df683ce33a8b1defaa3ca0fcb8f
7150907	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7150907	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7057816	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7057816	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
8168302	3860036	2012	MN	358d3cb746241ec1105de0542e47fbcd
8168302	3860036	2012	MN	358d3cb746241ec1105de0542e47fbcd
7833593	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
7833593	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
7019905	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7077649	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7077649	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
7298442	3860036	2007	MN	358d3cb746241ec1105de0542e47fbcd
6905220	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6905220	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6987612	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
6987612	3860036	2006	MN	358d3cb746241ec1105de0542e47fbcd
8568869	3860036	2013	MN	358d3cb746241ec1105de0542e47fbcd
8568869	3860036	2013	MN	358d3cb746241ec1105de0542e47fbcd
7321464	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
7321464	3860036	2008	MN	358d3cb746241ec1105de0542e47fbcd
6946188	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6946188	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6917399	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
6917399	3860036	2005	MN	358d3cb746241ec1105de0542e47fbcd
7852560	3860036	2010	MN	358d3cb746241ec1105de0542e47fbcd
4076163	3860062	1978	WV	
4076163	3860062	1978	WV	
5267257	3860222	1993	CA	f09ca44affccc3f09fc573b9bc156a83
5267257	3860222	1993	CA	f09ca44affccc3f09fc573b9bc156a83
4549773	3860308	1985	CA	07465f7b87e330e6f601e8aff9b5c44b
4549773	3860308	1985	CA	07465f7b87e330e6f601e8aff9b5c44b
4560212	3860308	1985	CA	07465f7b87e330e6f601e8aff9b5c44b
4560212	3860308	1985	CA	07465f7b87e330e6f601e8aff9b5c44b
4807996	3860346	1989	CT	57a9ba9d24d8d3e2021879b2443739ce
4807996	3860346	1989	CT	57a9ba9d24d8d3e2021879b2443739ce
8448824	3860353	2013	CA	8a5fe76d597fe1766513b34f2b53e115
8287495	3860353	2012	CA	8a5fe76d597fe1766513b34f2b53e115
8287495	3860353	2012	CA	8a5fe76d597fe1766513b34f2b53e115
8408421	3860353	2013	CA	8a5fe76d597fe1766513b34f2b53e115
8298184	3860353	2012	CA	8a5fe76d597fe1766513b34f2b53e115
8298184	3860353	2012	CA	8a5fe76d597fe1766513b34f2b53e115
8596968	3860360	2013	CA	fdef22faa1e5a8566808bb6980cc92e9
4395206	3860366	1983	MN	c9030ff85d75502bab453a625c9fcc35
4395206	3860366	1983	MN	c9030ff85d75502bab453a625c9fcc35
5976424	3860372	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
5976424	3860372	1999	MN	fd9d6ed41331a4af4c51bdc5946cb932
7297393	3860372	2007	MN	358d3cb746241ec1105de0542e47fbcd
7297393	3860372	2007	MN	358d3cb746241ec1105de0542e47fbcd
7083847	3860372	2006	MN	358d3cb746241ec1105de0542e47fbcd
7852560	3860372	2010	MN	358d3cb746241ec1105de0542e47fbcd
