citing	cited	citing_year	state_x
4246904	4127127	1981	CA
6629564	4083245	2003	CA
6860325	4083245	2005	CA
7335164	4083245	2008	CA
5550311	4036181	1996	CA
5294557	4033788	1994	CA
7474944	4067517	2009	CT
D691199	4101052	2013	WA
7059272	4101052	2006	WA
6016867	4476927	2000	WV
6016868	4476927	2000	WV
8238730	4476927	2012	WV
4662443	4476927	1987	WV
8224163	4476927	2012	WV
8224164	4476927	2012	WV
7121341	4476927	2006	WV
6596084	4126924	2003	CA
4533876	4460873	1985	MN
7921602	4469132	2011	MN
8245444	4469132	2012	MN
4128996	3964255	1978	NV
4152891	3964255	1979	NV
4244758	3964255	1981	NV
5288505	3964255	1994	NV
5307938	4274945	1994	CT
5422766	4405136	1995	MN
5793566	4405136	1998	MN
5917394	4041426	1999	CA
7218248	3955074	2007	CA
7027037	3955074	2006	CA
6222179	4445541	2001	MN
4538633	4445541	1985	MN
4584510	4445541	1986	MN
4493875	4231428	1985	OK
8236737	4231428	2012	OK
7591318	3954438	2009	CA
8272446	3954438	2012	CA
8291969	3954438	2012	CA
8291970	3954438	2012	CA
8322449	3954438	2012	CA
8256521	3954438	2012	CA
8056638	3954438	2011	CA
5123047	4283599	1992	CA
5128996	4283599	1992	CA
5374927	4425645	1994	CA
5689692	4425645	1997	CA
6021162	4425645	2000	CA
8310344	4425645	2012	CA
6351489	4425645	2002	CA
5661794	4315106	1997	CT
5815567	4315106	1998	CT
8222958	4315106	2012	CT
4552994	4315106	1985	CT
7092517	4315106	2006	CT
8354885	4315106	2013	CT
7116637	4315106	2006	CT
5737418	4315101	1998	CA
7792522	4315101	2010	CA
8532640	4315101	2013	CA
5123047	4315101	1992	CA
5128996	4315101	1992	CA
7890643	4315101	2011	CA
4359641	4127439	1982	WA
4823345	4211997	1989	CA
7899555	4282886	2011	MN
5476500	4282886	1995	MN
5693081	4282886	1997	MN
7856277	4282886	2010	MN
8285397	4282886	2012	MN
7603179	4282886	2009	MN
7099718	4282886	2006	MN
4886065	4282886	1989	MN
8406902	4282886	2013	MN
8554342	4282886	2013	MN
8295945	4282886	2012	MN
8326439	4282886	2012	MN
7983766	4282886	2011	MN
4326049	4043979	1982	CA
4798801	4394136	1989	CA
5676276	4425368	1997	MN
4801773	4425368	1989	MN
4873406	4425368	1989	MN
5077066	4425368	1991	MN
7491416	4425368	2009	MN
4721832	4187360	1988	OK
4963698	4187360	1990	OK
5483748	4493155	1996	CT
6301795	4493155	2001	CT
6909374	4493155	2005	CT
5437837	4228197	1995	WA
5623105	4228197	1997	WA
5801317	4228197	1998	WA
5872721	4228197	1999	WA
6092430	4228197	2000	WA
4710206	4228197	1987	WA
5244363	4228197	1993	WA
5332547	4228197	1994	WA
4642000	4342277	1987	WA
7661593	4516062	2010	CT
4924698	4301761	1990	CA
5568723	4490972	1996	CA
5746050	4490972	1998	CA
6342092	4490972	2002	CA
6432178	4490972	2002	CA
5379642	4137777	1995	CT
4231373	4137777	1980	CT
4241611	4137777	1980	CT
7094205	4137777	2006	CT
4398539	4137777	1983	CT
4434799	4137777	1984	CT
4525815	4137777	1985	CT
8337407	4137777	2012	CT
7993289	4137777	2011	CT
5301674	4137777	1994	CT
7532201	4137777	2009	CT
7857773	4137777	2010	CT
7457654	4137777	2008	CT
6698422	4324348	2004	MN
4905873	4324348	1990	MN
5014880	4324348	1991	MN
4295971	4018691	1981	WA
4957221	4288060	1990	CA
7634931	4404824	2009	CT
5685184	4404824	1997	CT
8099988	4404824	2012	CT
7213429	4404824	2007	CT
7117701	4404824	2006	CT
6959569	4404824	2005	CT
6951123	4404824	2005	CT
7114357	4404824	2006	CT
7434431	4404824	2008	CT
7878036	4404824	2011	CT
7322219	4404824	2008	CT
8291735	4404824	2012	CT
7007528	4404824	2006	CT
7308811	4404824	2007	CT
8033150	4404824	2011	CT
8347678	4404824	2013	CT
7234331	4404824	2007	CT
6973813	4404824	2005	CT
6186248	4396074	2001	OK
7967241	4372505	2011	WA
7837142	4372505	2010	WA
5088660	4372505	1992	WA
RE43731	4372505	2012	WA
5167249	4372505	1992	WA
5487760	4378022	1996	CA
4672977	4378022	1987	CA
4989611	4378022	1991	CA
5159932	4378022	1992	CA
7771699	4344770	2010	CA
7758731	4344770	2010	CA
8003833	4344770	2011	CA
7692050	4344770	2010	CA
8541536	4025477	2013	CT
8575294	4025477	2013	CT
7674925	4025477	2010	CT
8575378	4025477	2013	CT
5390636	4059123	1995	CT
5425333	4059123	1995	CT
5460656	4059123	1995	CT
5707457	4059123	1998	CT
5833765	4059123	1998	CT
4167193	4059123	1979	CT
6192901	4059123	2001	CT
6478033	4059123	2002	CT
6491048	4059123	2002	CT
6752159	4059123	2004	CT
4597416	4059123	1986	CT
4606311	4059123	1986	CT
4606363	4059123	1986	CT
4703767	4059123	1987	CT
4868932	4059123	1989	CT
4877043	4059123	1989	CT
4989561	4059123	1991	CT
4991608	4059123	1991	CT
5097806	4059123	1992	CT
5257604	4059123	1993	CT
6923190	4059123	2005	CT
6698504	4437315	2004	CA
4903796	4014404	1990	CA
4938311	4014404	1990	CA
7108488	4402618	2006	CT
8091186	4055876	2012	CT
5037606	4022660	1991	MN
7264464	4380526	2007	CT
5687856	4318486	1997	CT
D394601	4318486	1998	CT
D690380	4040137	2013	WA
5988348	4199744	1999	CA
6766892	4199744	2004	CA
7213697	4199744	2007	CA
4689592	4199744	1987	CA
7520374	4199744	2009	CA
7152727	4199744	2006	CA
7005306	4084136	2006	WA
4819200	4084136	1989	WA
6899665	4179111	2005	CT
5581028	4478077	1996	MN
5600174	4478077	1997	MN
5844299	4478077	1998	MN
6326314	4478077	2001	MN
6547973	4478077	2003	MN
4542650	4478077	1985	MN
4633578	4478077	1987	MN
6966693	4478077	2005	MN
4821997	4478077	1989	MN
4943032	4478077	1990	MN
4966646	4478077	1990	MN
5074629	4478077	1991	MN
5285673	4478077	1994	MN
5359878	4478077	1994	MN
7878056	4478077	2011	MN
4969993	4472354	1990	CA
5073502	4472354	1991	CA
4509370	4321831	1985	CT
4678904	4321831	1987	CT
4778987	4321831	1988	CT
4945230	4321831	1990	CT
5061846	4321831	1991	CT
5119679	4321831	1992	CT
5137353	4321831	1992	CT
5252826	4321831	1993	CT
5262641	4321831	1993	CT
7047863	4440061	2006	WA
5400856	4109719	1995	OK
5411098	4109719	1995	OK
4243100	4109719	1981	OK
5421405	4138288	1995	CA
5578267	4138288	1996	CA
6795147	3971869	2004	CA
4975572	4140576	1990	CA
5102516	4140576	1992	CA
6312666	4100271	2001	CA
6312667	4100271	2001	CA
6620405	4100271	2003	CA
6669927	4100271	2003	CA
RE42024	4100271	2011	CA
5728154	4143661	1998	CA
5741316	4143661	1998	CA
6106551	4143661	2000	CA
8002821	4143661	2011	CA
4441498	4143661	1984	CA
8005547	4143661	2011	CA
8353949	4143661	2013	CA
8128689	4143661	2012	CA
8231980	4143661	2012	CA
7998192	4143661	2011	CA
8029554	4143661	2011	CA
8048150	4143661	2011	CA
8449603	4143661	2013	CA
7286880	4143661	2007	CA
7925357	4143661	2011	CA
7931683	4143661	2011	CA
8057534	4143661	2011	CA
8080055	4143661	2011	CA
8554322	4143661	2013	CA
7738965	4143661	2010	CA
8287937	4143661	2012	CA
8052743	4143661	2011	CA
8052744	4143661	2011	CA
8187620	4143661	2012	CA
7985252	4143661	2011	CA
7938855	4143661	2011	CA
8216632	4143661	2012	CA
8267992	4143661	2012	CA
6680337	3974213	2004	CT
7743543	3996686	2010	CT
4803239	4131726	1989	CA
4866118	4131726	1989	CA
6577442	4114978	2003	CA
6671088	4114978	2003	CA
6700700	4114978	2004	CA
6707602	4114978	2004	CA
5119231	4114978	1992	CA
4246376	4101603	1981	WV
4198922	3938468	1980	WV
5683058	3944153	1997	CA
4860451	4426780	1989	MN
4926557	4426780	1990	MN
5020224	4426780	1991	MN
7963041	4426780	2011	MN
4295630	4003547	1981	CT
4412670	4003547	1983	CT
4480811	4003547	1984	CT
6347675	4161222	2002	CA
5426392	4034240	1995	MN
4504856	3992573	1985	CA
7414197	4475006	2008	MN
4845311	4475006	1989	MN
7102082	4475006	2006	MN
4536246	3950213	1985	CT
4566932	3950213	1986	CT
7335346	4473543	2008	CT
5427449	4293228	1995	OK
5056924	4293228	1991	OK
4617108	4142995	1986	CA
4720472	4169040	1988	CA
4798666	4169040	1989	CA
5482077	4026322	1996	WA
5007454	4026322	1991	WA
5092744	4026322	1992	WA
4939513	4383299	1990	CT
7781735	4349733	2010	CA
5093574	4349733	1992	CA
8617151	4371861	2013	MN
5683568	4371861	1997	MN
5932082	4371861	1999	MN
6089414	4050860	2000	CT
6296154	4050860	2001	CT
7427004	4050860	2008	CT
6360922	4050860	2002	CT
6467657	4050860	2002	CT
7789275	4050860	2010	CT
