citing	cited	citing_year	state
7902403	3865906	2011	CT
5364517	3865923	1994	CA
5939354	3865923	1999	CA
5977017	3865923	1999	CA
6352955	3865923	2002	CA
6372686	3865923	2002	CA
6531425	3865923	2003	CA
3914389	3865923	1975	CT
7514055	3865923	2009	CA
7014825	3865923	2006	CA
4940686	3865923	1990	OK
3997440	3865923	1976	OK
4230724	3865949	1980	CA
4391358	3866004	1983	CA
6320894	3866139	2001	CA
5068861	3866139	1991	CA
4187540	3866171	1980	OK
8142820	3866171	2012	WA
4216565	3866271	1980	CA
4116224	3866285	1978	CT
4154220	3866285	1979	WV
4167936	3866285	1979	CA
4172311	3866285	1979	CT
4392482	3866285	1983	CA
4003364	3866285	1977	CT
5839236	3866369	1998	CA
5582899	3866384	1996	CA
5819428	3866473	1998	MN
6758098	3866473	2004	CA
4617014	3866473	1986	CA
4690673	3866473	1987	CA
5217355	3866473	1993	CA
4237794	3866542	1980	CA
5540532	3866767	1996	CT
4786229	3866767	1988	CA
4863335	3866767	1989	WA
6089795	3866769	2000	WA
7959397	3866769	2011	CT
4076288	3866825	1978	CA
7208047	3866926	2007	CA
6929765	3866926	2005	CA
5098612	3867160	1992	NV
5538524	3867250	1996	CA
3939662	3867250	1976	OK
4378320	3867298	1983	CT
4414140	3867312	1983	CT
4451578	3867312	1984	CT
4593014	3867312	1986	CA
4837192	3867312	1989	OK
4965236	3867312	1990	OK
4230604	3867315	1980	OK
4391952	3867315	1983	CA
4393159	3867315	1983	CA
4393176	3867315	1983	CA
5017784	3867315	1991	CA
5859952	3867485	1999	CT
8376322	3867485	2013	MN
4606918	3867521	1986	CA
4770874	3867521	1988	CA
4772466	3867521	1988	CA
4933179	3867521	1990	CA
6933286	3867521	2005	CA
4100271	3867533	1978	CA
4188373	3867533	1980	CA
5969622	3867640	1999	CA
6008729	3867640	1999	CA
6087947	3867640	2000	CA
7053783	3867640	2006	CA
5001463	3867640	1991	CA
4987644	3867740	1991	WA
4497461	3867750	1985	WA
6403503	3867758	2002	CT
4868035	3867758	1989	CT
5274196	3867758	1993	CT
4213437	3867919	1980	CT
5370160	3867999	1994	CA
5515881	3867999	1996	OK
5626170	3867999	1997	CA
6378657	3867999	2002	MN
6779633	3867999	2004	MN
4815566	3867999	1989	CA
5168844	3867999	1992	CA
4033432	3867999	1977	CA
5228536	3867999	1993	MN
7931125	3868105	2011	WA
5494298	3868114	1996	CT
4874180	3868114	1989	MN
4944520	3868114	1990	MN
7682271	3868114	2010	MT
5354068	3868114	1994	CT
6763764	3868126	2004	CA
3982800	3868156	1976	CA
4007419	3868570	1977	CA
4583833	3868651	1986	CA
4787077	3868651	1988	CA
7850737	3868730	2010	MN
5376121	3868730	1994	CA
4131956	3868730	1979	CA
6042611	3868730	2000	CT
4301553	3868730	1981	CT
RE38409	3868730	2004	CT
4718414	3868730	1988	CA
4950299	3868730	1990	CT
4960427	3868730	1990	CT
8545571	3868730	2013	CT
5314484	3868730	1994	CA
6250776	3868732	2001	CA
6398447	3868732	2002	CA
6568126	3868732	2003	NV
5005229	3868732	1991	CA
4845393	3868766	1989	CA
6286281	3868796	2001	CA
5560624	3868886	1996	CA
5613404	3868896	1997	ND
5833528	3868896	1998	ND
4252547	3868896	1981	MN
4467706	3868896	1984	ND
4684381	3868896	1987	CA
4048911	3868896	1977	MN
5552761	3868923	1996	CA
4118946	3868945	1978	CA
4146012	3868945	1979	CA
4287883	3868945	1981	CA
4325359	3868945	1982	CA
4601072	3868945	1986	CA
4621613	3868945	1986	CA
3991742	3868945	1976	CA
5012796	3868945	1991	CA
4061132	3868945	1977	CA
8240490	3868986	2012	CA
4438781	3868991	1984	MN
4426101	3869015	1984	CA
4238104	3869017	1980	CA
7083024	3869017	2006	MN
8104736	3869017	2012	CT
5853118	3869038	1998	OK
6230955	3869038	2001	OK
4184624	3869078	1980	CA
5080233	3869078	1992	MN
4616141	3869098	1986	CA
6354973	3869138	2002	CA
6533690	3869138	2003	CA
4068813	3869144	1978	WA
4072334	3869167	1978	CA
4069662	3869222	1978	CT
8328505	3869222	2012	CT
8092160	3869222	2012	CT
4019320	3869222	1977	CT
4151711	3869246	1979	OK
4255116	3869246	1981	CA
D684510	3869279	2013	CA
5069180	3869528	1991	MN
6228338	3869544	2001	CA
6617064	3869544	2003	CA
6228338	3869545	2001	CA
6617064	3869545	2003	CA
4464756	3869669	1984	MN
7057672	3869669	2006	CA
6343409	3869760	2002	CA
6484374	3869760	2002	CA
D643131	3869827	2011	MT
D642701	3869827	2011	MT
7798561	3869859	2010	NV
5332240	3869943	1994	CA
4742925	3870157	1988	CA
7028855	3870157	2006	CA
7500446	3870221	2009	MN
5398869	3870221	1995	CA
7549391	3870221	2009	MN
7464664	3870221	2008	MN
7469655	3870221	2008	MN
D549990	3870221	2007	CA
7523716	3870221	2009	MN
D527994	3870221	2006	CA
7878146	3870221	2011	MN
7444956	3870221	2008	MN
7444957	3870221	2008	MN
5444531	3870417	1995	MN
6516626	3870417	2003	WA
3994602	3870417	1976	CA
6877275	3870505	2005	WV
5445738	3870640	1995	OK
4872988	3870640	1989	CA
7164011	3870699	2007	CA
7361743	3870699	2008	CA
7256177	3870699	2007	CA
7199105	3870699	2007	CA
7199106	3870699	2007	CA
5508038	3870794	1996	CA
5633008	3870794	1997	CA
5776956	3870794	1998	MN
5889029	3870794	1999	MN
6165497	3870794	2000	CA
5004610	3870794	1991	CA
5077104	3870794	1991	CA
5135753	3870794	1992	CA
5268209	3870794	1993	CA
RE39588	3870794	2007	CA
5738530	3870978	1998	CA
5855063	3870978	1999	CA
4739259	3870978	1988	WA
6054028	3870987	2000	CA
7414189	3870987	2008	WA
5022151	3871063	1991	CA
5154356	3871063	1992	CA
5177955	3871063	1993	CA
5613818	3871430	1997	CA
5738477	3871430	1998	CA
4749317	3871540	1988	OK
8376684	3871540	2013	OK
4493232	3871670	1985	CA
4614136	3871670	1986	CA
4632407	3871670	1986	CA
4256699	3871684	1981	CA
7566484	3871684	2009	CA
7152927	3871704	2006	CA
6299265	3871720	2001	ND
4854357	3871720	1989	CA
D551162	3871720	2007	CA
7001159	3871796	2006	CA
4003688	3871810	1977	CT
7851535	3872038	2010	CT
5700989	3872279	1997	CA
5147997	3872279	1992	CA
4321480	3872320	1982	MN
4565520	3872320	1986	CA
4589006	3872492	1986	CA
3956042	3872492	1976	CA
4014772	3872492	1977	CA
5421033	3872515	1995	CT
5664567	3872515	1997	CA
5691446	3872515	1997	CA
5741885	3872515	1998	CA
RE367788	3872515	2000	CT
D526096	3872515	2006	WA
5025502	3872515	1991	CA
5173966	3872515	1992	CT
4088124	3872526	1978	CA
5544376	3872526	1996	CA
5600214	3872526	1997	CA
4141096	3872526	1979	CA
4187568	3872526	1980	CA
4197602	3872526	1980	CA
4232661	3872526	1980	CA
4947832	3872526	1990	CT
4048684	3872526	1977	CA
7254867	3872540	2007	MN
4006511	3872540	1977	CA
4044422	3872540	1977	CA
4101484	3872548	1978	OK
4559711	3872602	1985	CA
4580348	3872602	1986	CA
7712555	3872669	2010	ND
4583377	3872687	1986	MN
5606110	3872709	1997	MN
3918291	3872712	1975	CA
5295391	3872712	1994	CA
5349846	3872712	1994	CA
5619960	3872845	1997	CA
4930484	3872849	1990	OK
5957166	3872867	1999	CA
3938518	3872867	1976	CT
4619651	3872867	1986	CA
4675020	3872867	1987	CA
5088996	3872867	1992	CA
4676740	3872918	1987	CA
5797472	3872949	1998	CT
4492292	3872955	1985	MN
7896113	3872983	2011	CA
4427117	3872983	1984	WA
4493421	3872983	1985	WA
4714508	3872983	1987	CA
4753256	3872983	1988	CA
4372729	3872990	1983	MN
3980247	3873041	1976	CA
4125285	3873155	1978	CT
6736454	3873155	2004	CA
4668297	3873334	1987	CA
4721528	3873334	1988	CA
4137350	3873348	1979	CT
