id	year(patent.date)	inventor_id	state
3889880	1975	3858620-1	CA
4204631	1980	3858620-1	CA
3930540	1976	3858649-1	OK
4560004	1985	3858649-1	OK
4589485	1986	3858649-1	OK
3964305	1976	3858649-1	OK
3858649	1975	3858649-1	OK
5507349	1996	3858649-1	OK
4058165	1977	3858649-1	OK
3860069	1975	3858649-1	OK
3930540	1976	3858649-2	OK
3964305	1976	3858649-2	OK
3860069	1975	3858649-2	OK
4058165	1977	3858649-2	OK
3858649	1975	3858649-2	OK
3858655	1975	3858655-2	OK
4085800	1978	3858655-2	OK
4148217	1979	3858655-2	OK
5082476	1992	3858793-1	MN
5238474	1993	3858793-1	MN
5364456	1994	3858793-1	MN
5423892	1995	3858793-1	MN
5622537	1997	3858793-1	MN
5669949	1997	3858793-1	MN
5672399	1997	3858793-1	MN
5762670	1998	3858793-1	MN
5762669	1998	3858793-1	MN
5792227	1998	3858793-1	MN
5797973	1998	3858793-1	MN
5800587	1998	3858793-1	MN
5972063	1999	3858793-1	MN
6019809	2000	3858793-1	MN
6165572	2000	3858793-1	MN
6171684	2001	3858793-1	MN
6521321	2003	3858793-1	MN
3858793	1975	3858793-1	MN
3861584	1975	3858793-1	MN
4350282	1982	3858793-1	MN
4366069	1982	3858793-1	MN
4406651	1983	3858793-1	MN
3923220	1975	3858836-1	CA
3858836	1975	3858836-1	CA
4202062	1980	3858836-1	CA
4253207	1981	3858836-1	CA
4340984	1982	3858836-1	CA
4397092	1983	3858836-1	CA
4432141	1984	3858836-1	CA
4572481	1986	3858847-1	CA
3978676	1976	3858847-1	CA
3994475	1976	3858847-1	CA
4007915	1977	3858847-1	CA
3860215	1975	3858847-1	CA
3858847	1975	3858847-1	CA
4474347	1984	3858863-1	CA
4487383	1984	3858863-1	CA
4742604	1988	3858863-1	CA
4757742	1988	3858863-1	CA
3858863	1975	3858863-1	CA
5512348	1996	3858863-1	CA
5556695	1996	3858863-1	CA
4066149	1978	3858863-1	CA
3882590	1975	3858863-1	CA
5996115	1999	3858863-1	CA
4128217	1978	3858863-1	CA
4150805	1979	3858863-1	CA
4408738	1983	3858863-1	CA
4423848	1984	3858863-1	CA
4511149	1985	3858890-1	CA
4586719	1986	3858890-1	CA
3941395	1976	3858890-1	CA
3957276	1976	3858890-1	CA
3970320	1976	3858890-1	CA
3858890	1975	3858890-1	CA
4099728	1978	3858890-1	CA
4109920	1978	3858890-1	CA
3884482	1975	3858890-1	CA
4114900	1978	3858890-1	CA
3889960	1975	3858890-1	CA
4241927	1980	3858890-1	CA
4266786	1981	3858890-1	CA
4323255	1982	3858890-1	CA
4418921	1983	3858890-1	CA
4426092	1984	3858890-1	CA
3858940	1975	3858940-1	WV
4096307	1978	3858940-1	WV
4226476	1980	3858940-1	WV
4256343	1981	3858940-1	WV
4290653	1981	3858940-1	WV
4472014	1984	3858961-1	CA
4529257	1985	3858961-1	CA
4544224	1985	3858961-1	CA
3932932	1976	3858961-1	CA
4624517	1986	3858961-1	CA
4628410	1986	3858961-1	CA
4634199	1987	3858961-1	CA
3858961	1975	3858961-1	CA
4919626	1990	3858961-1	CA
4932898	1990	3858961-1	CA
4995828	1991	3858961-1	AZ
3871728	1975	3858961-1	CA
5037331	1991	3858961-1	CA
3998512	1976	3858961-1	CA
4008938	1977	3858961-1	CA
4026623	1977	3858961-1	CA
3880487	1975	3858961-1	CA
4073560	1978	3858961-1	CA
4090772	1978	3858961-1	CA
4143935	1979	3858961-1	CA
4162119	1979	3858961-1	CA
4200768	1980	3858961-1	CA
4213668	1980	3858961-1	CA
3900239	1975	3858961-1	CA
4262981	1981	3858961-1	CA
4286834	1981	3858961-1	CA
3902777	1975	3858961-1	CA
3905672	1975	3858961-1	CA
4443096	1984	3858978-1	CA
4452526	1984	3858978-1	CA
3865254	1975	3858978-1	CA
4597664	1986	3858978-1	CA
3940211	1976	3858978-1	CA
3941294	1976	3858978-1	CA
4687980	1987	3858978-1	CA
3955072	1976	3858978-1	CA
4977361	1990	3858978-1	CA
3858978	1975	3858978-1	CA
4040736	1977	3858978-1	CA
4070117	1978	3858978-1	CA
4259019	1981	3858978-1	CA
4408885	1983	3858978-1	CA
4414749	1983	3858978-1	CA
4425537	1984	3858978-1	CA
3858995	1975	3858995-1	CT
4097720	1978	3858995-1	CT
4138807	1979	3858995-1	CT
4316427	1982	3858995-1	CT
4338156	1982	3858995-1	CT
3914972	1975	3858995-1	CT
3923557	1975	3859058-1	CT
3859058	1975	3859058-1	CT
3960208	1976	3859058-1	CT
3859059	1975	3859058-1	CT
5176205	1993	3859058-1	NY
3872921	1975	3859058-1	CT
4039298	1977	3859058-1	CT
3878871	1975	3859058-1	CT
4078946	1978	3859058-1	CT
4082574	1978	3859058-1	CT
4084963	1978	3859058-1	CT
4093782	1978	3859058-1	CT
4146679	1979	3859058-1	CT
4146678	1979	3859058-1	CT
4167410	1979	3859058-1	MO
4196262	1980	3859058-1	MO
4209059	1980	3859058-1	MO
4211827	1980	3859058-1	MO
